File,N_1-1,E_1-1,N_1-2,E_1-2,N_1-3,E_1-3,N_1-4,E_1-4,N_1-5,E_1-5,N_2-2,E_2-2,N_2-3,E_2-3,N_2-4,E_2-4,N_2-5,E_2-5,N_3-3,E_3-3,N_3-4,E_3-4,N_3-5,E_3-5,N_4-4,E_4-4,N_4-5,E_4-5,N_5-5,E_5-5,File_Index,Index,Y_Actual,Y_Predict,Structure
dump_0.csv,115.0,-3.6365983478260873,256.0,-3.71968171875,295.0,-4.060598966101694,271.0,-3.896939409594096,293.0,-4.062248634812287,319.0,-3.802201394984326,558.0,-4.130033163082437,523.0,-3.97084206500956,571.0,-4.133676269702277,784.0,-4.464989177295919,1028.0,-4.314748706225681,1115.0,-4.465737390134529,470.0,-4.155228138297873,716.0,-4.318593770949721,937.0,-4.469616147278548,0,1501,188.02883911132807,187.96036,dump_0.lammpstraj
dump_1.csv,169.0,-3.63199872781065,314.0,-3.7088628343949046,384.0,-4.048692018229167,350.0,-3.887098914285714,379.0,-4.052530329815303,288.0,-3.78594359375,519.0,-4.115682148362235,474.0,-3.9557417827004215,510.0,-4.118775656862745,934.0,-4.450934668094218,1201.0,-4.302287477102415,1284.0,-4.450891725077882,456.0,-4.145886107456141,702.0,-4.305910769230769,734.0,-4.451195653950954,1,2586,187.5619201660156,187.90855,dump_1.lammpstraj
dump_2.csv,54.0,-3.646440740740741,111.0,-3.7294584684684686,199.0,-4.067502889447236,184.0,-3.9140769565217393,198.0,-4.069736767676767,149.0,-3.80240788590604,360.0,-4.129718388888889,333.0,-3.976011051051051,359.0,-4.12800573816156,999.0,-4.473985085085085,1251.0,-4.327983229416467,1382.0,-4.46904252170767,480.0,-4.174174895833334,727.0,-4.330670068775791,939.0,-4.466276506922258,2,2653,192.2457733154297,192.43051,dump_2.lammpstraj
dump_3.csv,99.0,-3.630558535353536,175.0,-3.714203142857143,261.0,-4.056843850574713,238.0,-3.901357773109244,261.0,-4.053782471264368,179.0,-3.793414329608938,367.0,-4.126725899182562,337.0,-3.972984347181009,366.0,-4.126453633879781,943.0,-4.4705547242842,1191.0,-4.32305279177162,1304.0,-4.464469946319018,504.0,-4.16595628968254,742.0,-4.322387264150944,938.0,-4.461315410447761,3,1055,190.4314117431641,190.34995,dump_3.lammpstraj
dump_4.csv,534.0,-3.551509756554307,540.0,-3.632478805555556,804.0,-3.972017618159204,771.0,-3.8044838780804153,771.0,-3.978914928664073,145.0,-3.7453297586206897,339.0,-4.064356460176991,322.0,-3.89704950310559,324.0,-4.0741965895061725,812.0,-4.401473195812808,1078.0,-4.244506530612245,1075.0,-4.4044033767441855,595.0,-4.074907705882353,822.0,-4.25118846107056,554.0,-4.412300469314079,4,705,179.84764099121094,179.66837,dump_4.lammpstraj
dump_5.csv,337.0,-3.588897818991098,422.0,-3.666684526066351,554.0,-4.010645315884476,506.0,-3.8473910079051374,550.0,-4.012239963636364,180.0,-3.765113722222222,381.0,-4.086085879265092,357.0,-3.93185175070028,377.0,-4.090683541114059,935.0,-4.427025668449198,1169.0,-4.277346976047904,1252.0,-4.425997244408945,452.0,-4.120157732300885,686.0,-4.283546326530613,735.0,-4.430401938775511,5,106,185.4502716064453,185.3563,dump_5.lammpstraj
dump_6.csv,288.0,-3.61295921875,499.0,-3.6973580861723447,497.0,-4.025689225352113,465.0,-3.858344688172043,492.0,-4.039215274390243,625.0,-3.799851704,889.0,-4.118371546681665,862.0,-3.952021258700696,893.0,-4.128869714445689,635.0,-4.439672803149606,849.0,-4.284033568904594,881.0,-4.443999040862656,476.0,-4.116253834033613,693.0,-4.293807005772006,599.0,-4.456912337228714,6,589,181.2812347412109,181.49959,dump_6.lammpstraj
dump_7.csv,244.0,-3.613617274590164,370.0,-3.6978765945945935,424.0,-4.039795117924529,427.0,-3.863506018735362,447.0,-4.042122762863534,320.0,-3.803816515625,531.0,-4.128817052730697,533.0,-3.960293142589118,559.0,-4.129832316636851,516.0,-4.460434680232559,761.0,-4.301006708278581,798.0,-4.458285808270676,625.0,-4.129859368,889.0,-4.30307766591676,907.0,-4.463660815876516,7,2468,182.1753387451172,182.06194,dump_7.lammpstraj
dump_8.csv,127.0,-3.630719921259842,262.0,-3.7117563931297712,333.0,-4.054209294294295,294.0,-3.89061018707483,332.0,-4.058108780120482,251.0,-3.7952897410358566,470.0,-4.123558319148936,442.0,-3.964383484162896,476.0,-4.125534380252101,872.0,-4.457742786697247,1120.0,-4.309924133928571,1216.0,-4.455556299342105,449.0,-4.154166536748329,713.0,-4.313540596072931,884.0,-4.456190345022624,8,2413,188.50213623046875,188.3129,dump_8.lammpstraj
dump_9.csv,110.0,-3.633932454545455,215.0,-3.7146480697674416,295.0,-4.056268898305085,267.0,-3.8993555617977527,295.0,-4.055853372881356,184.0,-3.794940489130435,408.0,-4.122018333333333,370.0,-3.968393608108108,408.0,-4.122213394607843,952.0,-4.461206302521009,1182.0,-4.313233705583756,1282.0,-4.456198985959438,445.0,-4.156997325842696,700.0,-4.318734121428572,939.0,-4.45934719914803,9,1600,189.69039916992188,189.534,dump_9.lammpstraj
