Pair_Type,Element_Pair,Mean_Energy_eV,SD_Energy_eV,Pair_Count_Bulk_Pearson_r
1-1,Mn-Mn,-3.61088452422673,0.033441051189708665,-0.8612100833737085
1-2,Mn-Cr,-3.71252265571748,0.024602567552008042,-0.8570781553551755
1-3,Mn-Co,-4.044646152199312,0.02696032490824614,-0.6779184887421684
1-4,Mn-Fe,-3.8814049070872403,0.030111272310686152,-0.8526141983591973
1-5,Mn-Ni,-4.056892556807382,0.02408436301718284,-0.7091434400750226
2-2,Cr-Cr,-3.7990898581815515,0.01920430922980366,-0.512279858962033
2-3,Cr-Co,-4.1165874248002385,0.019356152661308263,-0.1972093708876609
2-4,Cr-Fe,-3.9588319502948375,0.021338429656254994,-0.5278173305386316
2-5,Cr-Ni,-4.127584844305247,0.017747595283708853,-0.24584186994131832
3-3,Co-Co,-4.452960641774263,0.02310166888520082,0.8311315732102756
3-4,Co-Fe,-4.3132314542359005,0.025126794881532275,0.557624914508992
3-5,Co-Ni,-4.454103777410503,0.020104343774233292,0.9019101303593271
4-4,Fe-Fe,-4.145047131797137,0.028794895508826,-0.23384757231839134
4-5,Fe-Ni,-4.3098099454902075,0.02233821491227896,0.43318612115221594
5-5,Ni-Ni,-4.454415800844107,0.01744603135607869,0.6165507709420213
