File,Pair,Count,Mean_Energy
dump_0.csv,1-1,115,-3.6365983478260873
dump_0.csv,1-2,256,-3.71968171875
dump_0.csv,1-3,295,-4.060598966101694
dump_0.csv,1-4,271,-3.896939409594096
dump_0.csv,1-5,293,-4.062248634812287
dump_0.csv,2-2,319,-3.802201394984326
dump_0.csv,2-3,558,-4.130033163082437
dump_0.csv,2-4,523,-3.97084206500956
dump_0.csv,2-5,571,-4.133676269702277
dump_0.csv,3-3,784,-4.4649891772959185
dump_0.csv,3-4,1028,-4.314748706225681
dump_0.csv,3-5,1115,-4.465737390134529
dump_0.csv,4-4,470,-4.155228138297873
dump_0.csv,4-5,716,-4.318593770949721
dump_0.csv,5-5,937,-4.469616147278548
dump_1.csv,1-1,169,-3.6319987278106507
dump_1.csv,1-2,314,-3.7088628343949046
dump_1.csv,1-3,384,-4.048692018229167
dump_1.csv,1-4,350,-3.887098914285714
dump_1.csv,1-5,379,-4.052530329815303
dump_1.csv,2-2,288,-3.78594359375
dump_1.csv,2-3,519,-4.115682148362235
dump_1.csv,2-4,474,-3.9557417827004215
dump_1.csv,2-5,510,-4.118775656862745
dump_1.csv,3-3,934,-4.450934668094218
dump_1.csv,3-4,1201,-4.302287477102415
dump_1.csv,3-5,1284,-4.450891725077882
dump_1.csv,4-4,456,-4.145886107456141
dump_1.csv,4-5,702,-4.305910769230769
dump_1.csv,5-5,734,-4.451195653950954
dump_2.csv,1-1,54,-3.646440740740741
dump_2.csv,1-2,111,-3.7294584684684686
dump_2.csv,1-3,199,-4.067502889447236
dump_2.csv,1-4,184,-3.9140769565217393
dump_2.csv,1-5,198,-4.069736767676767
dump_2.csv,2-2,149,-3.80240788590604
dump_2.csv,2-3,360,-4.129718388888889
dump_2.csv,2-4,333,-3.976011051051051
dump_2.csv,2-5,359,-4.12800573816156
dump_2.csv,3-3,999,-4.473985085085085
dump_2.csv,3-4,1251,-4.327983229416467
dump_2.csv,3-5,1382,-4.46904252170767
dump_2.csv,4-4,480,-4.174174895833334
dump_2.csv,4-5,727,-4.330670068775791
dump_2.csv,5-5,939,-4.466276506922258
dump_3.csv,1-1,99,-3.6305585353535355
dump_3.csv,1-2,175,-3.714203142857143
dump_3.csv,1-3,261,-4.056843850574713
dump_3.csv,1-4,238,-3.9013577731092437
dump_3.csv,1-5,261,-4.053782471264368
dump_3.csv,2-2,179,-3.7934143296089387
dump_3.csv,2-3,367,-4.126725899182562
dump_3.csv,2-4,337,-3.972984347181009
dump_3.csv,2-5,366,-4.126453633879781
dump_3.csv,3-3,943,-4.4705547242842
